what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.core.filesystem,1.2.0.v20090507,"org.eclipse.core.filesystem",1250172875765
started,bundle,org.tigris.subversion.clientadapter.javahl,1.6.3,"org.tigris.subversion.clientadapter.javahl",1250172876171
started,bundle,org.tigris.subversion.clientadapter.svnkit,1.6.2,"org.tigris.subversion.clientadapter.svnkit",1250172876171
started,bundle,com.collabnet.subversion.merge,1.9.0.4,"com.collabnet.subversion.merge",1250172876765
started,bundle,org.eclipse.compare,3.5.0.I20090514-0808,"org.eclipse.compare",1250172876828
started,bundle,org.tigris.subversion.subclipse.ui,1.6.2,"org.tigris.subversion.subclipse.ui",1250172876843
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250172877781
started,bundle,org.eclipse.jdt.apt.core,3.3.200.v20090528-1135,"org.eclipse.jdt.apt.core",1250172877859
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.200.v20090526-2130,"org.eclipse.jdt.apt.pluggable.core",1250172877875
started,bundle,org.eclipse.ltk.core.refactoring,3.5.0.v20090513-2000,"org.eclipse.ltk.core.refactoring",1250172882703
started,bundle,org.eclipse.ltk.ui.refactoring,3.4.100.v20090604,"org.eclipse.ltk.ui.refactoring",1250172882718
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250172884718
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250172902859
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250172908453
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250172914640
started,bundle,org.eclipse.compare.core,3.5.0.I20090430-0408,"org.eclipse.compare.core",1250172915406
opened,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1250172915437
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1250172915468
started,bundle,org.eclipse.core.variables,3.2.200.v20090521,"org.eclipse.core.variables",1250172915906
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250172921484
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250172939765
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250172942796
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250172943640
executed,command,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.edit.text.java.sort.members",1250172943671
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250172945171
