what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1250168180343
started,bundle,org.tigris.subversion.clientadapter,1.6.0.2,"org.tigris.subversion.clientadapter",1250168180343
started,bundle,org.tigris.subversion.subclipse.core,1.6.2,"org.tigris.subversion.subclipse.core",1250168180343
started,bundle,org.tigris.subversion.subclipse.mylyn,3.0.0,"org.tigris.subversion.subclipse.mylyn",1250168180343
os,sysinfo,,,"win32",1250168180359
arch,sysinfo,,,"x86",1250168180359
ws,sysinfo,,,"win32",1250168180359
locale,sysinfo,,,"en_GB",1250168180359
processors,sysinfo,,,"2",1250168180359
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1250168180359
java.runtime.version,sysinfo,,,"1.6.0_15-b03",1250168180359
java.specification.name,sysinfo,,,"Java Platform API Specification",1250168180359
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1250168180359
java.specification.version,sysinfo,,,"1.6",1250168180359
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1250168180359
java.version,sysinfo,,,"1.6.0_15",1250168180359
java.vm.info,sysinfo,,,"mixed mode",1250168180359
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1250168180359
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1250168180359
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1250168180359
java.vm.specification.version,sysinfo,,,"1.0",1250168180359
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1250168180359
java.vm.version,sysinfo,,,"14.1-b02",1250168180359
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1250168182890
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1250168182937
