what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1250173410109
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1250173436234
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.lineStart",1250173439953
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1250173441062
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1250173441390
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250173444921
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250173445781
executed,command,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.edit.text.java.clean.up",1250173445796
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1250173455234
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250173459234
started,bundle,org.eclipse.ant.ui,3.4.0.v20090520,"org.eclipse.ant.ui",1250173464343
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250173464640
executed,command,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.edit.text.java.rename.element",1250173464656
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250173476984
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250173510812
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250173518531
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250173521265
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1250173530218
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250173532171
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250173533250
executed,command,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.edit.text.java.clean.up",1250173533250
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1250173534656
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250173536281
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250173537234
executed,command,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.edit.text.java.clean.up",1250173537234
