what,kind,bundleId,bundleVersion,description,time
closed,view,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.internal.introview",1250168182968
activated,view,org.eclipse.ui.views,3.4.0.I20090525-2000,"org.eclipse.ui.views.ContentOutline",1250168187609
activated,view,org.eclipse.mylyn.tasks.ui,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.tasks.ui.views.tasks",1250168189484
started,bundle,org.eclipse.debug.core,3.5.0.v20090526-1600,"org.eclipse.debug.core",1250168194312
started,bundle,org.eclipse.debug.ui,3.5.0.v20090603,"org.eclipse.debug.ui",1250168194578
opened,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1250168194656
opened,view,org.eclipse.debug.ui,3.5.0.v20090603,"org.eclipse.debug.ui.DebugView",1250168195156
opened,view,org.eclipse.debug.ui,3.5.0.v20090603,"org.eclipse.debug.ui.VariableView",1250168195421
activated,perspective,org.eclipse.debug.ui,3.5.0.v20090603,"org.eclipse.debug.ui.DebugPerspective",1250168195515
activated,view,org.eclipse.ui.views,3.4.0.I20090525-2000,"org.eclipse.ui.views.ContentOutline",1250168195578
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.perspectives.showPerspective",1250168195593
executed,command,org.eclipse.debug.ui,3.5.0.v20090603,"org.eclipse.debug.ui.DebugPerspective",1250168195593
activated,perspective,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.JavaPerspective",1250168201046
activated,view,org.eclipse.mylyn.tasks.ui,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.tasks.ui.views.tasks",1250168201062
activated,view,org.eclipse.ui.ide,3.5.0.I20090525-2000,"org.eclipse.ui.views.ProblemView",1250168206343
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250168216390
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250168249828
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.import",1250168249828
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250168250984
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250168310093
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250168311671
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250168322015
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250168324453
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250168335171
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.import",1250168335187
