what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.views,3.4.0.I20090525-2000,"org.eclipse.ui.views",1250178534750
started,bundle,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"org.eclipse.ui.workbench",1250178534750
started,bundle,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.workbench.texteditor",1250178534750
started,bundle,org.eclipse.update.configurator,3.3.0.v20090312,"org.eclipse.update.configurator",1250178534750
started,bundle,com.collabnet.subversion.merge,1.9.0.4,"com.collabnet.subversion.merge",1250178534750
started,bundle,org.tigris.subversion.clientadapter,1.6.0.2,"org.tigris.subversion.clientadapter",1250178534750
started,bundle,org.tigris.subversion.subclipse.core,1.6.2,"org.tigris.subversion.subclipse.core",1250178534750
started,bundle,org.tigris.subversion.subclipse.ui,1.6.2,"org.tigris.subversion.subclipse.ui",1250178534750
os,sysinfo,,,"win32",1250178534750
arch,sysinfo,,,"x86",1250178534750
ws,sysinfo,,,"win32",1250178534750
locale,sysinfo,,,"en_GB",1250178534750
processors,sysinfo,,,"2",1250178534750
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1250178534750
java.runtime.version,sysinfo,,,"1.6.0_15-b03",1250178534750
java.specification.name,sysinfo,,,"Java Platform API Specification",1250178534750
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1250178534750
java.specification.version,sysinfo,,,"1.6",1250178534750
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1250178534750
java.version,sysinfo,,,"1.6.0_15",1250178534750
java.vm.info,sysinfo,,,"mixed mode",1250178534750
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1250178534750
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1250178534750
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1250178534750
java.vm.specification.version,sysinfo,,,"1.0",1250178534750
