what,kind,bundleId,bundleVersion,description,time
java.runtime.version,sysinfo,,,"1.6.0_15-b03",1251111447453
java.specification.name,sysinfo,,,"Java Platform API Specification",1251111447453
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1251111447453
java.specification.version,sysinfo,,,"1.6",1251111447453
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1251111447453
java.version,sysinfo,,,"1.6.0_15",1251111447453
java.vm.info,sysinfo,,,"mixed mode",1251111447453
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1251111447453
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1251111447453
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1251111447453
java.vm.specification.version,sysinfo,,,"1.0",1251111447453
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1251111447453
java.vm.version,sysinfo,,,"14.1-b02",1251111447453
started,bundle,org.eclipse.ui.forms,3.4.0.v20090526,"org.eclipse.ui.forms",1251111447625
started,bundle,org.eclipse.mylyn.context.core,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.context.core",1251111447687
started,bundle,org.eclipse.mylyn.context.ui,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.context.ui",1251111447718
started,bundle,org.eclipse.mylyn.tasks.ui,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.tasks.ui",1251111448203
started,bundle,org.eclipse.mylyn.team.ui,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.team.ui",1251111448265
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1251111448296
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1251111448515
started,bundle,org.eclipse.jsch.core,1.1.100.I20090430-0408,"org.eclipse.jsch.core",1251111448562
started,bundle,org.eclipse.team.cvs.core,3.3.200.I20090430-0408,"org.eclipse.team.cvs.core",1251111448562
started,bundle,org.tigris.subversion.subclipse.mylyn,3.0.0,"org.tigris.subversion.subclipse.mylyn",1251111448562
started,bundle,org.eclipse.epp.usagedata.ui,1.1.0.R200906100410,"org.eclipse.epp.usagedata.ui",1251111448593
started,bundle,org.eclipse.mylyn.monitor.ui,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.monitor.ui",1251111448875
