what,kind,bundleId,bundleVersion,description,time
started,bundle,org.tigris.subversion.subclipse.mylyn,3.0.0,"org.tigris.subversion.subclipse.mylyn",1250169308453
os,sysinfo,,,"win32",1250169308453
arch,sysinfo,,,"x86",1250169308453
ws,sysinfo,,,"win32",1250169308453
locale,sysinfo,,,"en_GB",1250169308453
processors,sysinfo,,,"2",1250169308453
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1250169308453
java.runtime.version,sysinfo,,,"1.6.0_15-b03",1250169308453
java.specification.name,sysinfo,,,"Java Platform API Specification",1250169308453
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1250169308453
java.specification.version,sysinfo,,,"1.6",1250169308453
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1250169308453
java.version,sysinfo,,,"1.6.0_15",1250169308453
java.vm.info,sysinfo,,,"mixed mode",1250169308453
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1250169308453
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1250169308453
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1250169308453
java.vm.specification.version,sysinfo,,,"1.0",1250169308453
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1250169308453
java.vm.version,sysinfo,,,"14.1-b02",1250169308453
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250169427796
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250169729781
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250170340062
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.selectAll",1250170468500
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.copy",1250170468812
