what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1250175560781
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.copy",1250175569453
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1250175570625
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1250175572375
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1250175573109
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.lineStart",1250175578406
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.lineStart",1250175578546
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1250175580328
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1250175582234
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250175596015
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250175604984
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250175608343
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250175610187
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250175618718
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250175621671
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250175624109
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250175625328
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.copy",1250175630468
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250175633734
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250175654234
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1250175654296
opened,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1250175656390
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1250175656421
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.wordNext",1250175661687
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.wordNext",1250175662187
