what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.update.configurator,3.3.0.v20090312,"org.eclipse.update.configurator",1250587893296
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1250587893328
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1250587893343
started,bundle,com.collabnet.subversion.merge,1.9.0.4,"com.collabnet.subversion.merge",1250587893343
started,bundle,org.tigris.subversion.clientadapter,1.6.0.2,"org.tigris.subversion.clientadapter",1250587893343
started,bundle,org.tigris.subversion.subclipse.core,1.6.2,"org.tigris.subversion.subclipse.core",1250587893343
started,bundle,org.tigris.subversion.subclipse.mylyn,3.0.0,"org.tigris.subversion.subclipse.mylyn",1250587893343
started,bundle,org.tigris.subversion.subclipse.ui,1.6.2,"org.tigris.subversion.subclipse.ui",1250587893375
os,sysinfo,,,"win32",1250587893375
arch,sysinfo,,,"x86",1250587893375
ws,sysinfo,,,"win32",1250587893375
locale,sysinfo,,,"en_GB",1250587893375
processors,sysinfo,,,"2",1250587893375
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1250587893375
java.runtime.version,sysinfo,,,"1.6.0_15-b03",1250587893375
java.specification.name,sysinfo,,,"Java Platform API Specification",1250587893375
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1250587893375
java.specification.version,sysinfo,,,"1.6",1250587893375
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1250587893375
java.version,sysinfo,,,"1.6.0_15",1250587893375
java.vm.info,sysinfo,,,"mixed mode",1250587893375
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1250587893375
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1250587893375
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1250587893375
java.vm.specification.version,sysinfo,,,"1.0",1250587893375
