what,kind,bundleId,bundleVersion,description,time
started,bundle,org.tigris.subversion.subclipse.mylyn,3.0.0,"org.tigris.subversion.subclipse.mylyn",1250171742437
os,sysinfo,,,"win32",1250171742437
arch,sysinfo,,,"x86",1250171742437
ws,sysinfo,,,"win32",1250171742437
locale,sysinfo,,,"en_GB",1250171742437
processors,sysinfo,,,"2",1250171742437
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1250171742437
java.runtime.version,sysinfo,,,"1.6.0_15-b03",1250171742437
java.specification.name,sysinfo,,,"Java Platform API Specification",1250171742437
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1250171742437
java.specification.version,sysinfo,,,"1.6",1250171742437
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1250171742437
java.version,sysinfo,,,"1.6.0_15",1250171742437
java.vm.info,sysinfo,,,"mixed mode",1250171742437
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1250171742437
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1250171742437
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1250171742437
java.vm.specification.version,sysinfo,,,"1.0",1250171742437
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1250171742437
java.vm.version,sysinfo,,,"14.1-b02",1250171742437
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250171744703
started,bundle,org.eclipse.debug.core,3.5.0.v20090526-1600,"org.eclipse.debug.core",1250171746765
started,bundle,org.eclipse.jdt.debug,3.5.0.v20090526,"org.eclipse.jdt.debug",1250171746890
started,bundle,org.eclipse.jdt.launching,3.5.0.v20090527,"org.eclipse.jdt.launching",1250171746906
started,bundle,org.eclipse.debug.ui,3.5.0.v20090603,"org.eclipse.debug.ui",1250171746906
