what,kind,bundleId,bundleVersion,description,time
java.runtime.version,sysinfo,,,"1.6.0_15-b03",1250602527812
java.specification.name,sysinfo,,,"Java Platform API Specification",1250602527812
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1250602527812
java.specification.version,sysinfo,,,"1.6",1250602527812
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1250602527812
java.version,sysinfo,,,"1.6.0_15",1250602527812
java.vm.info,sysinfo,,,"mixed mode",1250602527812
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1250602527812
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1250602527812
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1250602527812
java.vm.specification.version,sysinfo,,,"1.0",1250602527812
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1250602527812
java.vm.version,sysinfo,,,"14.1-b02",1250602527812
started,bundle,org.eclipse.ui.forms,3.4.0.v20090526,"org.eclipse.ui.forms",1250602527890
started,bundle,org.eclipse.mylyn.context.core,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.context.core",1250602528015
started,bundle,org.eclipse.mylyn.context.ui,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.context.ui",1250602528046
started,bundle,org.eclipse.jsch.core,1.1.100.I20090430-0408,"org.eclipse.jsch.core",1250602528640
started,bundle,org.eclipse.team.cvs.core,3.3.200.I20090430-0408,"org.eclipse.team.cvs.core",1250602528703
started,bundle,org.eclipse.mylyn.tasks.ui,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.tasks.ui",1250602528812
started,bundle,org.eclipse.mylyn.team.ui,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.team.ui",1250602528921
started,bundle,org.eclipse.epp.usagedata.ui,1.1.0.R200906100410,"org.eclipse.epp.usagedata.ui",1250602528953
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1250602528953
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1250602529296
started,bundle,org.tigris.subversion.subclipse.mylyn,3.0.0,"org.tigris.subversion.subclipse.mylyn",1250602529296
started,bundle,org.eclipse.team.cvs.ui,3.3.200.I20090521-1750,"org.eclipse.team.cvs.ui",1250602529515
